name,bio
LOU HAYTER,"Lou Hayter is a multi-talented musician and producer known for her contributions to the nu-disco and synth-pop genres. Her work often incorporates lush synthesizers and catchy melodies, creating a fresh take on classic sounds."
LOUIS DUNFORD,"Raw, funny and always honest storyteller underpinned by some infectious melodic hooks."
LOVE REMAIN,"Exploring the geography of everyday life transfixed with poetic dance music that’s suffused with field recordings, birdsong and late night conversations."
LOVEFOXY,Emerging artist blending indie pop with dreamy electronic elements.
LTJ BUKEM,"Pioneering figure in drum and bass, renowned for his atmospheric and jazz-influenced breakbeat tracks."
LUCY COOK,"UK-born Berlin-based A&R, Music Curator, and DJ, her sets see Lucy journeying through spacey ambient, blissful downtempo, trip-hop, and hip hop"
LUCY SPRAGGAN,"Chart-topping singer songwriter and lgbtq+ icon, known for her humorous and relatable lyrics that engage with both mental and physical transformation."
LUKAS WIGFLEX,"Innovative DJ and producer in the UK underground electronic music scene, famed for his genre-defying performances."
LUKE HOWARD,"Luke Howard is a renowned Australian composer and pianist known for his contemporary classical and ambient music. His works often blend lush orchestral arrangements with minimalist piano melodies, creating an emotional and immersive listening experience."
LUKE SOLOMON,"Luke Solomon is a British DJ and music producer known for his contributions to house music. He is notable for his eclectic style, which often incorporates elements of disco, funk, and soul, resulting in tracks that are both innovative and danceable."
LUKE UNA,"At the forefront of a changing scene, pairing Manchester’s 80s and 90s scene with the delivery of what today’s club communities need to get down."
LULAH FRANCS,Up-and-coming artist known for her fusion of synth-pop and alternative R&B sounds.
LULU,"Evergreen 60s pop sensation, actress, TV host and National Treasure whose super-soulful delivery suitably impressed everyone from Bowie to Take That."
LYNKS,"Camouflaged chameleon shape-shifting alternative electronic indie dance, hip hop and UK rap."
MAD APPLE CIRCUS,"Mad Apple Circus is a high-energy band known for their unique blend of ska, hip-hop, funk, and jazz. They are celebrated for their dynamic live performances and eclectic sound that gets audiences moving."
MAD DOG MCREA,"Mad Dog Mcrea is a lively band known for their fusion of folk, gypsy jazz, and rock. Their music often features a mix of traditional instruments like the accordion and violin, coupled with storytelling lyrics and a party atmosphere."
MADAME ELECTRIFIE,"Madame Electrifie is a DJ and producer known for her eclectic approach to electronic music. She often blends elements of electro-swing, breaks, and bass-heavy genres, creating a unique and energetic sound that resonates with diverse audiences."
MAE CHALLIS,"Mae Challis is a pop and indie artist, recognized for her powerful voice and emotive songwriting. Her music often touches on personal experiences and universal themes."
MAL WEBB,"Mal Webb is an Australian musician known for his multi-instrumentalist abilities and use of vocal looping. His music can be categorized as eclectic acoustic with influences from funk, jazz, and folk."
MALL GRAB,"Heralded house and techno DJ and producer, skate enthusiast and remixer."
MAMA TOKUS,"Mama Tokus is known for her unique fusion of blues, funk, and spoken word, bringing a vibrant and eclectic style that often explores themes of empowerment and social justice."
MANASSEH,"Manasseh is known for his contributions to the reggae and dub genres. He is a prominent figure in the UK reggae scene and has been influential in producing, remixing, and creating music that stays true to the roots of reggae while incorporating modern elements."
MANDIDEXTROUS,"Mandidextrous is an artist recognized for pioneering the subgenre of jungletek, a fusion of jungle and techno music. They are known for their high-paced, bass-heavy tracks that dominate underground raves."
MANFREDAS,"Lithuanian DJ and producer recognized for his genre-bending sets that blend psychedelic, techno, and indie dance elements."
MANNEQUIN PUSSY,Beautifully abrasive noise rock from the States somewhere between seething chaos and quietly devastating vulnerability.
MANNI DEE,"Manni Dee is a producer and DJ in the techno genre, known for his hard-hitting, industrial-influenced sound. His tracks often explore the darker, more intense side of techno, earning him a reputation within the underground electronic music community."
MANUEL DARQUART,"Manuel Darquart is known for his work in the genre of smooth, laid-back house music and disco. His tracks often feature lush melodies and nostalgic grooves, perfect for relaxed listening and chill dancefloor moments."
MARGARET DYGAS,"With broad musical background fuelling her desire for electronic experimentation within her music, her productions and dj-sets incorporate the deep and dub-influenced sound she loves, whilst retaining the driving funk of her musical past."
MARK ARCHER,"Mark Archer is a British electronic musician and DJ, best known as one half of the electronic music duo Altern 8. He is a pivotal figure in the UK rave and dance music scenes."
MARLIE,"Marlie's music stands out in the indie pop genre for its catchy hooks and vibrant, emotive vocals."
MARTIN FUREY,Martin Furey is a notable figure in the Irish folk music scene. He is recognized for his mastery of traditional Irish instruments and his contribution to preserving and modernizing Irish folk music.
MARUJA,Intense and angsty electrifying proto jazz punk.
MARY IN THE JUNKYARD,"Experiental rock trio serving up “Angry, weepy chaos rock”."
MARY MIDDLEFIELD,Veering between a keening pop-punk fuelled intensity and a lovely folk-inspired softness.
MASEGO,The Jamaican / US musician call his genre- mashing music traphouse jazz. As a consummate showman he crushes it live.
MATT JAM LAMONT,"Matt Jam Lamont is a DJ and producer who is a seminal figure in the UK garage scene. With over two decades in the industry, he has significantly influenced the evolution of garage music through his innovative productions and DJ sets."
MATT OWENS,Matt Owens is a singer-songwriter and musician known for his work in the folk and Americana genres. His music often combines heartfelt lyrics with traditional and contemporary folk sounds.
MATTHEW HALSALL,The trumpeter and bandleader’s take on spiritual jazz nods to Bonobo and the Cinematic Orchestra as much as the likes of Alice Coltrane and Pharoah Sanders.
MAUVEY,"Mauvey is an eclectic artist whose music blends alternative R&B, hip hop, and electronic elements. His style is characterized by emotive lyrics, innovative production, and a distinctive vocal delivery."
MAX COOPER,"Max Cooper is an electronic music producer and DJ known for merging visually immersive art with electronica and techno, often incorporating elements of IDM and ambient music."
MAX RAD,"Max Rad is a British singer-songwriter and producer known for his smooth blend of electronic and pop music. His sound often features heartfelt lyrics, catchy melodies, and minimalist beats."
MAYA LAKHANI,Swaggering guitarist making stylish self-produced alt rock withj some chunky riffs and dreamy vocals.
MAZE,"Maze, also known as Maze featuring Frankie Beverly, is an American soul and R&B band. They are celebrated for their smooth, soulful sound and classic hits that have become staples in the R&B genre."
MC LOWQUI,Versatile MC known for his dynamic flow across drum and bass and hip-hop beats.
MDOU MOCTAR,Desert blues from the Tuareg guitarist morphing into the most fiery psych-rock of the 21st century.
MEG WARD,Meg Ward is a DJ and producer known for her work in the house and techno genres. Her energetic sets feature a blend of groovy basslines and rhythmic beats that have made her a rising star in the electronic music scene.
MELLA DEE,"Mella Dee is a British DJ and producer noted for his eclectic mix of techno, house, and UK garage."
MELODY,Parisian selector and Vinyl aficionado Melody has been gaining notoriety for several years coming up as a key member of burgeoning all female collective RA + RE.
MIA KODEN,Up-and-coming artist blending soulful vocals with contemporary R&B and electronic beats.
MICHAEL BAKER,Michael Baker is a singer-songwriter whose music typically falls within the indie-folk genre. His deeply emotive lyrics and gentle acoustic melodies create an intimate and reflective listening experience.
MICHAEL KIWANUKA,"Eclectic musical amalgam, channelling soul, psychedelia, jazz and folk rock into a distinctive euphoria filled with captivating social commentary."
MICHELE STODART,"One quarter of The Magic Numbers, the singer songwriter presents her own brand of modern atmospheric folk music."
MIDLAND,"With a perfect record for every moment, subtle, refined and totally raucous when needs be."
MIKE D'ABO,"Acclaimed vocalist and keyboardist for The Manfreds, renowned for his work in British pop and rock."
MINA,"Mina is an artist celebrated for her eclectic take on UK funky, Afrobeat, and dancehall. Her productions often feature vibrant, polyrhythmic beats and collaborations with international vocalists, creating a unique and danceable sound."
MISHRA,"Mishra is a musical duo known for their unique blend of folk, classical, and traditional music. They incorporate elements of British and Indian musical styles, creating a sound that is both rootsy and innovative."
MISTA TRICK,"Mista Trick is a producer and DJ notable for his unique blend of swing and drum and bass, known as swing & bass. His music often features live jazz instrumentation mixed with fast-paced drum beats."
MIXMASTER MORRIS,Long-running champion of Ambient music and everything related.
MJ COLE,"MJ Cole is a UK garage producer whose work has been pivotal in the development of the genre. His music blends soulful vocals with complex, skittering beats, and he is known for hits like 'Sincere'."
MK,"MK (Marc Kinchen) is an American DJ, producer, and remixer primarily known for his work in house music. He has produced numerous hits and is recognized for his distinctive remixing style, which has shaped modern house music significantly."
MLE,"A rising star in the electronic dance music scene, MLE produces bass-heavy, high-energy tracks that dominate the underground club circuit."
MO FINGAZ,"Mo Fingaz is known for his eclectic DJ sets that span a wide range of genres including funk, soul, hip-hop, and house. His diverse selection and seamless mixing make for energetic sets that keep the dance floors vibrant and dynamic."
MOHAWKESTRA,"Mohawkestra is a UK-based instrumental band that blends elements of jazz, funk, and soul with modern beats and grooves to create a vibrant and eclectic sound."
MONROE,"Monrroe creates emotive liquid drum and bass tracks, combining lush melodies with deep, rolling basslines."
MONRROE,"Monrroe is a well-regarded name in the liquid drum and bass subgenre. His productions are known for their smooth, melodic lines and emotive depth, often blending subtle vocal samples with atmospheric soundscapes."
MOONCHILD SANELLY,"Future ghetto funk with traces of kwaito, dancehall, R&B, Afro punk, electronics and ampiano from the blue-haired innovator."
MOUNT KIMBIE,"Playing a pivotal role in the evolution of cutting-edge contemporary British music, cultivating a rich sonic tapestry with a compulsion to innovate."
MOYA BRENNAN,"Moya Brennan is an iconic figure in Celtic music, often referred to as the 'First Lady of Celtic Music.' She is known for her ethereal voice and her work with the renowned band Clannad, as well as her solo career."
MOZEY,Mozey delivers D&B bangers like only he can!
MR. B THE GENTLEMAN RHYMER,"Mr. B The Gentleman Rhymer is a pioneer of 'chap-hop,' a unique subgenre that combines the refined sensibilities of British chap culture with the rhythmic elements of hip-hop. His music often features clever wordplay and Victorian-era aesthetics."
N'FAMADY KOUYATÉ,"Master musician from Guinea (Conakry) fronting an indie/jazz/funk band.centered around his primary instrument, the balafon – a traditional wooden xylophone."
NABIHAH IQBAL,A London-based musician blending left-field lo-fi aesthetics with dreamy indie pop and guitar-oriented sounds.
NADIA KADEK,British-Indonesian whose raw acoustic tones and intimate songs saw her reach the final of the Glastonbury Emerging Talent Competition.
NADINE NOOR,The Pxssy Palace Head Honcho.
NAT WENDELL,"Nat Wendell is a DJ and producer known for his contributions to the deep house genre. His sound often incorporates soulful elements and a strong sense of groove, creating an engaging and emotive listening experience."
NATTY LOU,Natty Lou is an international Drum and Bass DJ & Producer from the U.K who was nominated in the Drum & Bass Awards 2024 as ‘Best Female DJ’ and in the Drum and Bass Arena Awards 2023 as ‘Best DJ’.
NATTY WYLAH,"Natty Wylah is a British rapper and poet known for his unique blend of hip-hop and spoken word. His lyrics often explore themes of identity, politics, and social issues, delivered with a distinctive, rhythmic flow."
NEFFA-T,"Neffa-T is a DJ and producer known for his work in the UK bass music scene. His sound typically includes elements of grime, dubstep, and drum and bass, distinguished by heavy basslines and intricate rhythms."
NEW MODEL ARMY,"Storming through their fifth decade embracing punk, folk, soul and metal with their recent 16th critical acclaimed studio album ‘Unbroken’."
NEW YORK BRASS BAND,"New York Brass Band is a contemporary brass band known for their eclectic mix of genres, including jazz, pop, funk, and rock. They bring a lively brass sound to a variety of popular and traditional melodies."
NEWDAD,"Chiming post-Cure austerity meets heavy dream pop as matters of the heart, insecurity and relationships are woozily examined."
NGAIO,"Ngaio is a singer and DJ known for combining soulful melodies with electronic beats. Her music crosses genres, incorporating elements of jazz, soul, and bass music, creating a fresh and engaging sound."
NIA ARCHIVES,Her string of next-gen junglist anthems achieve an emotional relevance and pop artistry rarely witnessed in UK breakbeat culture.
NICOLA CRUZ,Ecuadorian DJ and producer blending Andean cosmology and folkloric music from across the globe into contemporary electronic soundscapes.
NIGHTMARES ON WAX,"Firmly established trip hop, techno and downtempo supremo."
NIKKI NAIR,"Nikki Nair is an electronic music producer and DJ from Atlanta, specializing in genre-blending bass music that incorporates elements of breaks, techno, and house."
NITIN SAWHNEY,"From his debut album, 1995’s ‘Migration’ to last year’s ‘Identity’, Nitin Sawhney’s work has often focussed on the immigrant experience. A true musical and cultural polymath."
NOBLE & HEATH,"Noble & Heath are known for their work in the house and disco scenes, often playing sets that blend classic disco sounds with modern house tracks."
NONAME,"Backed by live musicians, the Chicago rapper delivers radical bars over daisy-age beats; hailed her as one of the most important voices of her generation."
NOTHING BUT THIEVES,"Headstrong, straight ahead arena rock with an alternative artful indie brogue and a high line in super catchy melodies."
NUBIYAN TWIST,"Seamlessly weaving together global grooves, soul and jazz intertwined with electronic elements, horn-led melodies and spontaneous improvisation."
NYRA,"Nyra is known for his contributions to the underground house and techno scenes, characterized by his deep grooves, infectious rhythms, and analog sound production."
O'FLYNN,"O'Flynn is a London-based DJ and producer known for his eclectic mix of world music samples and electronic beats. His music often incorporates elements of house, techno, and African rhythms, creating energetic and danceable tracks."
OBLIG,"Oblig is a DJ known for his work in grime and UK drill. He often blends these genres with elements of UK garage and bassline, creating dynamic and high-energy sets that resonate with fans of the underground British music scene."
OCEAN COLOUR SCENE,"Brit Pop heroes who honed their craft in the spirit of the soul, folk and blues greats who inspired them."
OH MY GOD! IT'S THE CHURCH,"Oh My God! It'S The Church is a unique act that combines elements of live music, comedy, and theatrical performance. Their shows are known for their humorous take on religious themes, featuring a mix of rock, gospel, and soul music."
OK WILLIAMS,Pioneering high-energy DJ known for her eclectic blend of leftfield techno and experimental house beats.
OLIVIA DEAN,Heartbreak ballads and self-love anthems from the neo soul chanteuse and former Rudimental guest vocalist.
OLIVIA NELSON,Glastonbury Emerging Talent Competition winner.
OPTIMO,Taste-makers with an encyclopaedic knowledge and the skill to assemble sounds past and present to create an experience that is futuristic.
OPTIMO [ESPACIO],"Optimo [Espacio] is a renowned DJ duo and club night from Glasgow, celebrated for their eclectic style that merges post-punk, disco, techno, and house music, creating diverse and dynamic sets."
OR:LA,"Derry-born DJ, producer and Céad label boss bridging UK bass subtleties with breakbeat and techno."
ORBITAL,"Marking the 30th anniversary of their legendary 1994 Glastonbury performance, often cited as converting the Festival to dance music."
OTOBOKE BEAVER,"Frantic and superbly intense Japanese four piece delivering short, sharp punk rock shocks in a spectacular Day-glo haze."
OTTO AND ASTRID - DIE ROTEN PUNKTE,"Otto and Astrid - Die Roten Punkte is a satirical rock and roll comedy duo from Australia. Their music parodies rock and punk styles, with humorous and outlandish stage shows that mock the clichés of rock bands."
P-RALLEL,"P-rallel grew up on a colourful musical diet, honing his craft from his DJ father. p-rallel started making a name for himself as a DJ in his own right"
PAB MC,"UK-based grime artist delivering fast-paced, hard-hitting lyrics over dark, aggressive beats."
PACH.,"Known for his minimalist approach, Pach. excels in creating tech-house tracks that boast crisp beats and engaging, funky basslines."
PALMS TRAX,Berlin-based DJ and producer inspired by house and techno to create his own unique percussive sound.
PALOMA FAITH,Mezzo-soprano singer songwriter unwrapping her empowering and truly personal ‘The Glorification Of Sadness’ album of last year.
PANGAEA,"A key figure in the UK bass music scene, Pangaea is celebrated for his innovative take on techno, blending it with elements of dubstep, house, and jungle."
PAPER DRAGON,"Paper Dragon, keep the scene fresh with a nostalgic twist. Delving into the realms of jungle and breaks-inspired music."
PARANOID LONDON,"Stripping acid house back down to its basics, referencing instead its gay, black, American roots."
PARIS PALOMA,"With dramatic instrumentation, folk sensibilities, pop at its most cavernous."
PAUL CASEY,"High-energy guitar-driven, Celtic-inspired songs: Think John Mayer meets The Waterboys."
PAUL HEATON,The Housemartins and Beautiful South mainstay - and Jacqui Abbott collaborator - stepping out on his own with a hatful of hits.
PAUL JONES,"Charismatic lead singer and harmonica player for The Manfreds, blending classic R&B with blues influences."
PEACH,"Peach is a DJ and producer associated with the house and techno sub-genres. Known for her eclectic sets and productions, she often merges various styles, creating a distinctive and dynamic sound."
PEGGY GOU,Upbeat deep electronic house music from the South Korean DJ and producer turned singer whose debut album ‘I Hear You’ arrived earlier this month.
PENGSHUI,"Pengshui is a UK-based band that fuses grime, punk, and heavy metal. Known for their aggressive sound and intense live performances, they bring a unique energy to the UK's alt-music scene."
PETE CANNON,"Pete Cannon is a versatile producer and DJ, known for his work in the UK hip-hop and drum & bass scenes, often blending old-school breakbeats with modern production techniques."
PETEBOX,"Petebox is a pioneering beatboxer and live-looping artist, known for creating intricate and full-band soundscapes using just his voice and loop pedal. His work spans various genres, including rock, electronic, and pop."
PHIL HARTNOLL,Phil Hartnoll is best known as one half of the pioneering electronic music duo Orbital. Orbital is credited with helping to shape the sound of early 90s rave and techno music with their iconic tracks and live performances.
PILLOW QUEENS,"Burnished with heartland euphoria, defiant lyricism and ragged harmonies, with lashings of pride, and an unabashed love of crescendos."
PIXEY,With a prolific and unusual songwriting style stemming from original riffs and beat.
PJ HARVEY,"Poet, actress, alternative rock icon, composer and musician whose music is striking in its originality: vivid, absorbing, and distinctive."
PLAID,"An electronic music duo from London, Plaid are pioneers in the IDM (Intelligent Dance Music) scene, known for their complex, multi-layered rhythms and innovative soundscapes."
PLANNINGTOROCK,"Planningtorock is an experimental music artist known for blending elements of electronic, pop, and avant-garde music. The artist's work often explores themes of gender and identity, creating a unique sonic and visual experience."
POLA & BRYSON,"This duo is celebrated in the liquid drum and bass scene for their smooth, melodic productions and intricate sound design."
PORIJ,"Combining minimalist grooves, heady bass and beautifully relaxed vocals to create their own unique genre-splicing sound."
PROBLEM PATTERNS,Belfast punks and Glastonbury Emerging Talent Competition finalists.
PROSPA,"Prospa is an electronic music duo known for their high-energy productions within the house and rave revival genres. Their tracks often feature big drops, catchy hooks, and a distinctly 90s influence."
PROSUMER,Prosumer is an influential DJ and producer within the house music community. His deep understanding of the genre and exceptional skill in selecting and mixing tracks have earned him a dedicated following among house music enthusiasts.
PSYCHEDELIC PORN CRUMPETS,"With their well-travelled explosive rock ‘n’ roll live show perfect for fans of King Gizzard, Thee Oh Sees and Ty Segall."
PUMAROSA,"Pumarosa is a British band that merges indie rock with electronic and psychedelic influences. Their music often features strong, atmospheric instrumentation and evocative vocals, creating a unique and dynamic soundscape."
RACHEL CHINOURIRI,"Intriguing upbeat indie pop Inspired by an eclectic upbringing via Sugababes, Daughter, Ladysmith Black Mambazo, and Coldplay."
RAGGS,"Raggs, dubstep, grime DJ/producer, journalist. Known for diverse selections, worldwide gigs, and fearless dedication to underground music culture."
RAGZ ORIGINALE,"Fusing rap, R&B, electronic, soul, and hip hop vibes, the producer turned performer has crafted an ever-evolving sound all his own."
RAINBOW GIRLS,"Rainbow Girls are an American folk and Americana group known for their harmonious vocals, engaging lyrics, and multi-instrumental talents. They blend elements of folk, rock, and Americana, creating a vibrant and eclectic sound."
RAJI RAGS,"Raji Rags is a versatile DJ and producer from the UK, known for his eclectic sets that fuse jazz, soul, and hip-hop with contemporary electronic beats."
RALPH  MCTELL,"Legendary unassuming singer songwriter, a prolific touring and recording artist with a knack for illuminating the present with a shared, storied, past."
RALPH MCTELL,"Ralph McTell is a veteran British singer-songwriter, known for his work in the folk and folk-rock genres. He gained widespread recognition with his classic hit 'Streets of London.'"
RANDALL,"A cornerstone of the jungle and drum and bass scenes, Randall is celebrated for his technical DJ skills and deep, rolling basslines."
RAW SILK,"Raw Silk is an influential dance music duo, well-known for their work in the post-disco genre, especially the hit single ""Do It to the Music."""
REBECCA VASMANT,"Rebecca Vasmant is a DJ and producer from Glasgow, primarily known for her contributions to the jazz and electronic music scenes. She often blends live jazz instrumentation with electronic elements to create a hybrid sound."
RED HOT CHILLI PIPERS,Raucous and rebel-rousing bagpipe interpretations of everything from Coldplay to Queen.
REMI WOLF,Good time super soulful singer songwriter with a great vocal range whether tackling moody ballads or uptempo cheeky pop tunes.
REN HARVIEU,"Ren Harvieu is an English singer-songwriter known for her lush, soulful voice and retro pop sensibilities. Her music often draws from classic pop and soul influences, creating a nostalgic yet contemporary sound."
RIVER ROOTS,"River Roots is known for their organic, acoustic music that often blends folk and roots genres. Their harmonious tunes and reflective lyrics aim to connect listeners with nature and the human spirit."
ROBERT,Known for his innovative contributions to the electronic and experimental music scenes.
RODNEY BRANIGAN,"Rodney Branigan is a multi-instrumentalist known for his unique blend of folk, rock, and acoustic music. His sub-genre can be classified under contemporary folk, where he incorporates intricate guitar techniques and heartfelt songwriting."
ROGUE WAVE,"Rogue Wave is an American indie rock band from Oakland, California. They are known for their layered, melodic sound that incorporates elements of folk, pop, and rock."
ROMY,"Musician, songwriter, DJ and part of the influential London group The xx, now a successful solo artist and DJ."
RONI SIZE,"Roni Size, Bristol legend, transformed D’n’B, winning Mercury Prize for ‘New Forms’. Known for groundbreaking live performances."
ROSA PISTOLA,"Rosa Pistola is a DJ and producer known for her influence in the reggaeton underground scene, bringing raw and edgy performances."
ROSS FROM FRIENDS,"Ross From Friends is a significant artist within the lo-fi house sub-genre. His music features hazy textures, lo-fi beats, and nostalgic melodies that evoke a sense of longing and memory, all while keeping the dance floor moving."
ROSSI.,One of the freshest DJs from the London club scene with his own unique spin on minimal house music.
ROXANNE ROLL,"Roxanne Roll is known for her part in the Fleetmac Wood project, which re-edits and remixes Fleetwood Mac's music for a club setting, often blending disco and house elements."
RROSE,"Rrose - Please Touch. Acoustically-deceiving, mind-rearranging music from Rrose that moves beyond techno into something more tactile and unpredictable."
RUDIMENTAL,"Rudimental is a British band known for their contributions to the Drum and Bass and electronic music scenes. Their tracks often feature a blend of soulful melodies and robust basslines, making them a staple in the genre."
RUMBA DE BODAS,"Rumba De Bodas is a band from Italy that fuses Latin, swing, and ska. Their lively and festive music is designed to get audiences dancing, incorporating vibrant rhythms and a cheerful vibe."
RUSS RYAN,"Russ Ryan is a DJ and producer often recognized for his contributions to jazz-infused beats and hip-hop. He blends classic jazz elements with modern rhythms, creating a unique sound palette that resonates with diverse audiences."
RYAN MCMULLAN,Acclaimed Irish singer songwriter who has garnered widespread acclaim for his soulful sound and powerful lyrics.
S.P.Y,S.P.Y is a Brazilian drum and bass DJ and music producer known for his work in the Liquid Funk sub-genre.
SABIYHA,Putting humanity to the forefront as they explore and expose the most vulnerable and empowering parts of themselves.
SALLY C,"Irish born DJ traversing vintage house, hip house, acid house and break beat."
SAM DIVINE,"Sam Divine is a prominent figure in the house music scene. Known for her dynamic DJ sets and deep connection with her audience, she has become a staple at major house music festivals and events around the world."
SAM EVANS,Somerset band who won the Pilton Stage talent competition beating off 1000 entrants.
SAM LEE,"A British folk artist known for his innovative and theatrical interpretations of ancient folk songs, Sam Lee bridges the gap between traditional and contemporary folk music with his profound connection to nature and folklore."
SAMBA BOYS,Tommy holohan a Dublin native who has risen to the forefront of techno with a remarkable trajectory Joins felow Irish DJ and producer sensation Ketama for another of their blistering techno infused B2B set.
SAMMY VIRJI,Bringing the electronic house sounds of Ibiza to sunny* Somerset. (*TBC)
SAMPHA,"Known for his emotive voice and blending soul, electronic, and R&B, Sampha's music resonates with deeply personal lyrics and innovative production."
SAMURAI BREAKS,"Samurai Breaks is an artist in the genre of jungle and drum and bass. Known for high-energy tracks and breakbeat rhythms, Samurai Breaks has a distinctive sound that mixes classic jungle vibes with modern twists."
SAOIRSE,"An Irish DJ renowned for her versatile sets that blend house, techno, electro, garage, breakbeat, and jungle, creating a dynamic and inclusive dance floor experience."
SASHA STEPPA,"A rising star in the dub and reggae scene, Sasha Steppa infuses traditional roots reggae with contemporary digital production techniques."
SAUL ROSE,"Saul Rose is known for his contributions to the folk and traditional music scene, particularly in England. He is a talented melodeon player, contributing to various bands and collaborations."
SCARLETT O’MALLEY,Electronic dance sounds kick off the Foundation FM Takeover.
SCOTT DIAZ,"Scott Diaz is a DJ and producer known for his contributions to the house music scene. His work often features soulful, deep, and jazzy elements, making him a respected figure in both underground and mainstream house circles."
SCOUTING FOR GIRLS,"Multi-award nominated, top ten single-producing, indie pop outfit with hooks aplenty."
SEAN LAKEMAN,"Sean Lakeman is an acclaimed British folk musician and producer, often performing with his wife, Kathryn Roberts. He is known for his masterful guitar work and production that stays true to the roots of traditional folk music."
SEAN MCCABE,"Sean McCabe is a British DJ and producer known for his work in soulful house music. His style incorporates rich vocals, deep grooves, and influences from disco and jazz, creating emotionally resonant tracks that are popular in the global house music scene."
SEASICK STEVE,"The 73-year-old, one string plucking bluesman returns on the back of a brand new album of boogie-fried pontification."
SEB LOWE,Singer songwriter wrapping his impassioned messages up with kaleidoscopic sounds and soaring choruses.
SEIZE THE DAY,"Seize The Day is an activist band known for their politically charged lyrics and folk-inspired sound. Their music often addresses social and environmental issues, blending traditional folk with modern protest music."
SELECTA JMAN,"Selecta Jman is an artist prominent in the jungle and drum and bass scenes, known for his high-energy sets and deep, rolling basslines."
SESSION VICTIM,"One of Germanys most prolific and accomplished house music production duos with an impressive remix catalogue (Midnight Magic, Folamour, Khruangbin)."
SEVENTEEN,"13-strong K-pop phenomenon, known as the “K-Pop Performance Powerhouse” mixing EDM, synth pop, R&B and electronica."
SG LEWIS,"A British DJ and producer, SG Lewis crafts atmospheric electronic music infused with disco, house, and pop influences"
SHANIA TWAIN,"Multi-million selling, Grammy-winning Canadian singer-songwriter whose adaptation of country into perfect pop has made her a global superstar."
SHANTI CELESTE,"A DJ and producer from Chile who is known for her vibrant and melodic approach to house and techno, often infusing her sets with an uplifting and warm energy."
SHAZNAY LEWIS,"Ivor Novello and BRIT Awards winning singer songwriter, who previously powered multi-million selling girl band All Saints."
SHERELLE,"Sherelle is a London-based DJ and producer known for her high-octane sets and deep expertise in footwork, jungle, and drum & bass. Her energetic performances and innovative selections have made her a prominent figure in the UK electronic music scene."
SHIVUM SHARMA,"Shivum Sharma is a London-based artist whose music features a soulful blend of electronic R&B and ambient pop, characterized by his ethereal vocals and lush soundscapes."
SHOSH,"Shosh is a prominent figure in the UK garage scene, known for her contributions to the genre both as a DJ and producer. As part of the Garage Girls collective, she blends classic UK garage with contemporary bass and house influences."
SHOWHAWK DUO,"The Showhawk Duo are famed for their unique style that blends acoustic and electronic music. Their innovative approach sees them performing acoustic takes on dance anthems and contemporary hits, showcasing their exceptional guitar skills."
SHY FX,Veteran jungle/drum and bass DJ and producer straight from the soundsystem culture of his legendary grandad Count Shelly.
SHY ONE,"DJ, producer, radio broadcaster (Soup To Nuts on Balamii Radio) and member of South London-based musical platform Touching Bass."
SHYGIRL,"Bold and avant-garde rapper and singer, merging electronic and club music with sharp lyrical content."
SID GRIFFIN,"Sid Griffin is an American musician best known for his work with the Long Ryders, a band associated with the cowpunk and Americana sub-genres. His music blends elements of punk rock, country, and folk."
SILVER SNIPA,"Emerging from the underground bass music scene, Silver Snipa crafts gritty, bass-heavy tracks that push the boundaries of dubstep and grime."
SIMULA,"Simula is a Drum and Bass producer known for his fast-paced, high-energy tracks. His music often features intricate basslines and complex rhythms, making him a rising star in the genre."
SIS:DEM,Female bass collective showcasing the crème de la crème of the UK's underground scene.
SKINDRED,"Outspoken ragga-metal legends who hit #2 in the Official Album Charts last year, fresh from their headline show at Wembley Arena."
SKITZ,"DJ Skitz is a key figure in the UK hip-hop scene, known for his production work and DJing. His music often features socially conscious lyrics and a blend of hip-hop beats with elements of reggae and funk."
SKREAM,"Skream, a pioneer of the dubstep genre, has evolved his sound to include a wide range of electronic music styles, from house and techno to disco and beyond."
SLEAFORD MODS,"With their trademark minimal electronics, incisive often surreal wordplay, the dynamic duo disassemble the wrongs of world with righteous anger."
SMOKIN' JO,"Smokin' Jo is a renowned DJ in the house and techno scene. With a career spanning several decades, she has played at some of the world's most famous clubs and festivals and has made significant contributions to the dance music landscape."
SOCCER MOMMY,Insular thought provoking snapshots of elation and its after effects from the alternative indie singer songwriter.
SOFIA KOURTESIS,"The exuberance of the Peruvian producer’s live performance reflect the tropical vibrancy of the tunes culled from her much loved album, ‘Madras’."
SOFT PLAY,Topless tattooed punk rock with suitably abrasive hardcore edges from the band formerly known as Slaves.
SONIQUE,Former S'Express vocalist turned DJ.
SONNY FODERA,Australian-born DJ and producer who has created his own brand of groove driven and emotive house music.
SOPHIE ELLIS BEXTOR,"Sophie Ellis Bextor is a British singer-songwriter known for her work in the pop and disco genres, gaining fame with hits like 'Murder on the Dancefloor' and 'Groovejet (If This Ain't Love)'."
SOPHIE FAITH,"Sophie Faith is a singer-songwriter whose music blends elements of soul, jazz, and R&B. Her emotive voice and heartfelt lyrics have garnered her a dedicated following and critical acclaim in the contemporary soul scene."
SOTA,"SOTA is an emerging artist in the UK garage scene, blending classic 2-step rhythms with contemporary electronic sounds."
SPRINTS,"Brash Irish four-piece transforming pain into truth, passion into purpose and perseverance into strength with a punky edge and some polished melodies."
