name,bio
KILIMANJARO,"Electronic Producer DJ, playing the sounds of Afro, Amapiano, House and the world, forever bringing the part"
KIM ANN FOXMAN,"Kim Ann Foxman is a prominent figure in the electronic music scene, known for her contributions to house and techno. A DJ and music producer, she blends deep, driving beats with a melodic touch, often creating a captivating and danceable atmosphere."
KIM GORDON,Alternative music provocateur delves deep into Justin Raisin's blown out dub and trap throwing in noise symphonies and beatnik poetry to the mix.
KING KRULE,Meditative melancholy musings on love and loss from this alternative indie performer slipping into blues and loose jazz.
KING OF THE BEATS,Breaks supergroup with Krafty Kuts and members of the Freestylers and Plump DJs
KINGFISHR,"One of the acclaimed new practitioners of Irish music, filled with a grand, atmospheric tone married to their super catchy melodies."
KINGS OF TOMORROW,"Kings Of Tomorrow is a music project by American DJ and house music producer Sandy Rivera, best known for their work in the Deep House genre."
KINK,"KiNK, born Strahil Velchev, is a Bulgarian DJ and producer known for his live performances and innovative approach to house and techno music. He often incorporates hardware and live elements into his sets, making each performance unique."
KISS NUKA,"Kiss Nuka is an electronic music artist known for her experimental soundscapes and fusion of various electronic sub-genres. Her music often incorporates elements of ambient, techno, and downtempo, creating rich and immersive auditory experiences."
KLEIN,"Klein is a contemporary British artist and composer whose work often blurs the lines between fact and fiction. Her music releases, films and performances are often informed by urban mapping, surveillance, humour, hip hop, noise, identity and beyond."
KLEU,"Kleu is associated with the drum and bass subgenre, delivering high-energy tracks that are characterized by fast breakbeats and heavy bass lines. Their music often finds a home in vibrant, high-tempo rave and club scenes."
KMRU,"Nairobi-born, Berlin-based sound artist whose work is grounded on the discourse of field recording, noise, and sound art."
KNEECAP,Political hip hop from the streets of Belfast from the Toddla T-approved pub-positive conceptualists.
KOJAQUE,"Visual artist, film maker and rapper whose conceptual approach and slo-mo soundscapes set him apart as an exciting provocateur."
KOLTER,Direct from the ever-innovative German music scene with a fresh take on house music.
KONX-OM-PAX,Konx-om-Pax will perform an exclusive immersive audio visual ambient set
KRAFT KUTS,Kraft Kuts is known for his work in the breakbeat and electronic music genres. His creative and energetic approach has earned him a strong reputation in the global breaks community.
KRAFTY KUTS,"Krafty Kuts is a pioneer in the UK breakbeat and electro breaks scene. Known for his innovative production and high-energy DJ sets, he has been a key figure in popularizing breakbeat music globally."
KT,The northern crate digger and Space Dust resident.
KURUPT FM,"London's finest pirate radio station; the BAFTA-winning, feature film making, album charting bedroom DJs open The Glade with their high rise selection."
L-VIS 1990,"L-Vis 1990, also known as James Connolly, is a prominent figure in the UK electronic music scene. He is a co-founder of the Night Slugs label, and his work spans genres including grime, house, and bass music."
LADY SHAKA,Taylah brings some Afrobeat to the party.
LAGOON FEMSHAYMA,"The xexy, xophisticated, inspiring host of Queer Island Discs."
LAIDLAW,"Laidlaw is a highly talented DJ and Producer hailing from the vibrant city of London. With an undeniable passion for music, he has become one of the most talked about upcoming artists in the UK, positioning himself at the forefront of a new wave of underground selectors."
LAKUTI,"Lakuti is a prominent DJ and music promoter known for her contributions to the house music scene. Co-founder of the Sud Electronic label, she is a fixture in Berlin's club scene and renowned for her deep and soulful sets."
LAMBRINI GIRLS,"Outspoken nu-punk noise, squealing through hot button social issues with biting tongue-in-cheek humour propelled by some incendiary guitars."
LANCE DESARDI,"Lance Desardi is an electronic music producer and DJ, recognized for his work in the deep house genre. His productions often feature smooth, soulful melodies and intricate rhythms."
LAND OF THE GIANTS,"Land Of The Giants is known for their energetic blend of rock, reggae, and ska, making them a popular live act in the UK festival circuit."
LANKUM,"Irish four piece who’ve developed their traditional folk sound into a rich, textured backdrop for their absorbing lyrical vocal delivery."
LAUREN LO SUNG,"LOLiFE label and club night impresario playing dub techno entwined with grooves, breaks and impeccable basslines."
LAYLA BENITEZ,The ever evolving Afro house DJ and producer.
LCD SOUNDSYSTEM,Grammy-winning alternative electronic dance band revolving around James Murphy’s semi-sarcastic but sincerely poignant narrative.
LEA LEA,"Lea Lea is a dynamic artist who falls within the experimental soul and electronic subgenres. Her powerful vocals, combined with innovative production techniques, create a sound that is both modern and deeply emotive."
LEEROY THORNHILL,Leeroy Thornhill is a former member of The Prodigy and has made a name for himself in the breakbeat and electronic music scene. His solo work continues to push boundaries with high-energy beats and innovative sounds.
LEKIDDO - LORD OF THE LOBSTERS,"Lekiddo - Lord Of The Lobsters is a quirky music artist known for his niche genre of lobster-themed dance-pop. His performances are often colorful and theatrical, engaging audiences with catchy tunes and eccentric costumes."
LEON VYNEHALL,Leon Vynehall is part of a vanguard of artists expanding the ambition of electronic music. Leon has established himself as a genuine artist of musicality and craftsmanship across the world.
LETISHA GORDON,Birmingham-based singer songwriter blending soul and Afropop together.
LIAM BAILEY,"20 years into his career, Liam Bailey can finally be himself providing the vocals for IZCO who has carved out a distinct space in the UK music scene. Redefining the old-skool sounds of garage, jungle, grime and broken beat into an all-encompassing collective"
LIL SILVA,"Lil Silva is a British music producer and artist known for his work in the UK bass scene, blending elements of funky house, grime, and R&B."
LIME GARDEN,"Wonk pop masters blending disco, alt-pop and surf music into their own distinctive sound."
LITTLE SIMZ,"Perceptive singer songwriter, actress, singer and Mercury Prize winner with a surreal, carefully-observed cinematic worldview."
LIZ LAWRENCE,"Liz Lawrence is an independent singer-songwriter who merges indie rock and pop with an introspective lyrical style. Her sound is characterized by its catchy melodies, honest storytelling, and a blend of acoustic and electronic elements."
LIZZIE ESAU,"Influenced by Wolf Alice, Beabadoobee, Bob Vylan and Radiohead, creating her own angsty sound."
LOGIC1000,"Conjuring up concepts and genres via samples, UK-centric dance rhythms, digital synths and disembodied textures."
LONDON COMMUNITY GOSPEL CHOIR,With an uplifting combination of covers and original songs painting a positive picture of hope and optimism during a time of global concern.
LONDON GRAMMAR,Sweet electronic dream pop hit makers previewing their upcoming ‘Greatest Love’ album set for September release.
LOONALOOP,"Loonaloop is a band known for their fusion of world music, electronica, and trance. Their eclectic sound and hypnotic live shows feature a diverse range of instruments and global musical influences."
LORD APEX,"London-based MC crossing styles and genres and embracing lo-fi, alternative and UK hip hop."
LOTTERY WINNERS,"Unruly Manc four piece streamlining social awareness into heady, melody-strewn pop gems with some glorious choruses."
LOU HAYTER,"Lou Hayter is a multi-talented musician and producer known for her contributions to the nu-disco and synth-pop genres. Her work often incorporates lush synthesizers and catchy melodies, creating a fresh take on classic sounds."
LOUIS DUNFORD,"Raw, funny and always honest storyteller underpinned by some infectious melodic hooks."
LOVE REMAIN,"Exploring the geography of everyday life transfixed with poetic dance music that’s suffused with field recordings, birdsong and late night conversations."
LTJ BUKEM,"LTJ Bukem is a pioneering figure in the drum and bass genre. Known for his atmospheric and jazz-influenced tracks, he has been a significant force in shaping the intelligent drum and bass scene."
LTJ BUKEM WITH MC LOWQUI,"British drum and bass institution, producer, DJ and label boss most associated with the jazzy, atmospheric side of drum and bass music."
LUCY COOK,"UK-born Berlin-based A&R, Music Curator, and DJ, her sets see Lucy journeying through spacey ambient, blissful downtempo, trip-hop, and hip hop"
LUCY SPRAGGAN,"Chart-topping singer songwriter and lgbtq+ icon, known for her humorous and relatable lyrics that engage with both mental and physical transformation."
LUKE HOWARD,"Luke Howard is a renowned Australian composer and pianist known for his contemporary classical and ambient music. His works often blend lush orchestral arrangements with minimalist piano melodies, creating an emotional and immersive listening experience."
LUKE SOLOMON,"Luke Solomon is a British DJ and music producer known for his contributions to house music. He is notable for his eclectic style, which often incorporates elements of disco, funk, and soul, resulting in tracks that are both innovative and danceable."
LUKE UNA,"At the forefront of a changing scene, pairing Manchester’s 80s and 90s scene with the delivery of what today’s club communities need to get down."
LULU,"Evergreen 60s pop sensation, actress, TV host and National Treasure whose super-soulful delivery suitably impressed everyone from Bowie to Take That."
LYNKS,"Camouflaged chameleon shape-shifting alternative electronic indie dance, hip hop and UK rap."
MAD APPLE CIRCUS,"Mad Apple Circus is a high-energy band known for their unique blend of ska, hip-hop, funk, and jazz. They are celebrated for their dynamic live performances and eclectic sound that gets audiences moving."
MAD DOG MCREA,"Mad Dog Mcrea is a lively band known for their fusion of folk, gypsy jazz, and rock. Their music often features a mix of traditional instruments like the accordion and violin, coupled with storytelling lyrics and a party atmosphere."
MADAME ELECTRIFIE,"Madame Electrifie is a DJ and producer known for her eclectic approach to electronic music. She often blends elements of electro-swing, breaks, and bass-heavy genres, creating a unique and energetic sound that resonates with diverse audiences."
MAE CHALLIS,"Mae Challis is a pop and indie artist, recognized for her powerful voice and emotive songwriting. Her music often touches on personal experiences and universal themes."
MAL WEBB,"Mal Webb is an Australian musician known for his multi-instrumentalist abilities and use of vocal looping. His music can be categorized as eclectic acoustic with influences from funk, jazz, and folk."
MALL GRAB,"Heralded house and techno DJ and producer, skate enthusiast and remixer."
MAMA TOKUS,"Mama Tokus is known for her unique fusion of blues, funk, and spoken word, bringing a vibrant and eclectic style that often explores themes of empowerment and social justice."
MANASSEH,"Manasseh is known for his contributions to the reggae and dub genres. He is a prominent figure in the UK reggae scene and has been influential in producing, remixing, and creating music that stays true to the roots of reggae while incorporating modern elements."
MANASSEH FEAT LIKKLE MINTY,Dub producer and selector Manasseh takes on DJ Likkle Minty.
MANDIDEXTROUS,"Mandidextrous is an artist recognized for pioneering the subgenre of jungletek, a fusion of jungle and techno music. They are known for their high-paced, bass-heavy tracks that dominate underground raves."
MANFREDAS,"Manfredas is known for his work in the electronic music scene, specifically within the sub-genre of psychedelic and experimental electronica. His sets often blend a variety of influences, creating a unique and eclectic sound."
MANNEQUIN PUSSY,Beautifully abrasive noise rock from the States somewhere between seething chaos and quietly devastating vulnerability.
MANNI DEE,"Manni Dee is a producer and DJ in the techno genre, known for his hard-hitting, industrial-influenced sound. His tracks often explore the darker, more intense side of techno, earning him a reputation within the underground electronic music community."
MANUEL DARQUART,"Manuel Darquart is known for his work in the genre of smooth, laid-back house music and disco. His tracks often feature lush melodies and nostalgic grooves, perfect for relaxed listening and chill dancefloor moments."
MARGARET DYGAS,"With broad musical background fuelling her desire for electronic experimentation within her music, her productions and dj-sets incorporate the deep and dub-influenced sound she loves, whilst retaining the driving funk of her musical past."
MARK ARCHER,"Mark Archer is a British electronic musician and DJ, best known as one half of the electronic music duo Altern 8. He is a pivotal figure in the UK rave and dance music scenes."
MARLIE B2B PACH.,"Marlie's DJ sets are artfully curated, blending tracks from her collection to craft immersive stories that transcend the ordinary.Joining in a B2B set is Pach another name rising in the scene."
MARTIN FUREY,Martin Furey is a notable figure in the Irish folk music scene. He is recognized for his mastery of traditional Irish instruments and his contribution to preserving and modernizing Irish folk music.
MARUJA,Intense and angsty electrifying proto jazz punk.
MARY IN THE JUNKYARD,"Experiental rock trio serving up “Angry, weepy chaos rock”."
MARY MIDDLEFIELD,Veering between a keening pop-punk fuelled intensity and a lovely folk-inspired softness.
MASEGO,The Jamaican / US musician call his genre- mashing music traphouse jazz. As a consummate showman he crushes it live.
MAT COLLISHAW - EVEN TO THE END,"Contempory Artist, drawing on an array of evocative imagery from the natural world. The film, 'Even to the End' is a meditation on what the human race is capable of: magnificence and ingenuity in one instance; plunder and ruin in another."
MATT JAM LAMONT,"Matt Jam Lamont is a DJ and producer who is a seminal figure in the UK garage scene. With over two decades in the industry, he has significantly influenced the evolution of garage music through his innovative productions and DJ sets."
MATT OWENS,Matt Owens is a singer-songwriter and musician known for his work in the folk and Americana genres. His music often combines heartfelt lyrics with traditional and contemporary folk sounds.
MATTHEW HALSALL,The trumpeter and bandleader’s take on spiritual jazz nods to Bonobo and the Cinematic Orchestra as much as the likes of Alice Coltrane and Pharoah Sanders.
MAUVEY,"Mauvey is an eclectic artist whose music blends alternative R&B, hip hop, and electronic elements. His style is characterized by emotive lyrics, innovative production, and a distinctive vocal delivery."
MAX COOPER AMBIENT LIVE AV,"Max Cooper, leading electronic musician. has carved a unique space as an audio-visual artist with a PhD in computational biology"
MAX RAD,"Max Rad is a British singer-songwriter and producer known for his smooth blend of electronic and pop music. His sound often features heartfelt lyrics, catchy melodies, and minimalist beats."
MAYA LAKHANI,Swaggering guitarist making stylish self-produced alt rock withj some chunky riffs and dreamy vocals.
MAZE,"Maze, also known as Maze featuring Frankie Beverly, is an American soul and R&B band. They are celebrated for their smooth, soulful sound and classic hits that have become staples in the R&B genre."
MC LOWQUI,"MC LowQui is a renowned drum and bass MC. He has collaborated with numerous prominent DJs and is known for his versatile, energetic, and crowd-pleasing performances."
MDOU MOCTAR,Desert blues from the Tuareg guitarist morphing into the most fiery psych-rock of the 21st century.
MEG WARD,Meg Ward is a DJ and producer known for her work in the house and techno genres. Her energetic sets feature a blend of groovy basslines and rhythmic beats that have made her a rising star in the electronic music scene.
MELLA DEE,"Mella Dee is a British DJ and producer noted for his eclectic mix of techno, house, and UK garage."
MELODY,Parisian selector and Vinyl aficionado Melody has been gaining notoriety for several years coming up as a key member of burgeoning all female collective RA + RE.
MERLIN SHELDRAKE,"Biologist and author of Entangled Life: How Fungi Make Our Worlds, Change Our Minds, and Shape Our Futures, a New York Times and Sunday Times bestseller, and winner of the Royal Society Book Prize and the Wainwright Prize"
MERLIN SHELDRAKE Q&A WITH EMILY EAVIS,"Biologist and author of Entangled Life: How Fungi Make Our Worlds, Change Our Minds, and Shape Our Futures, a New York Times and Sunday Times bestseller, and winner of the Royal Society Book Prize and the Wainwright Prize"
MIA KODEN,"Mia Koden, South London-based DJ/producer, influenced by African and UK sounds. Renowned for vibrant, cross-genre sets and unique records."
MIA KODEN B2B TASH LC,Radio and club DJ Tash LC mixing it up with Mia’s cohesive selection of bass music and beyond.
MICHAEL BAKER,Michael Baker is a singer-songwriter whose music typically falls within the indie-folk genre. His deeply emotive lyrics and gentle acoustic melodies create an intimate and reflective listening experience.
MICHAEL KIWANUKA,"Eclectic musical amalgam, channelling soul, psychedelia, jazz and folk rock into a distinctive euphoria filled with captivating social commentary."
MICHELE STODART,"One quarter of The Magic Numbers, the singer songwriter presents her own brand of modern atmospheric folk music."
MIDLAND,"With a perfect record for every moment, subtle, refined and totally raucous when needs be."
MIKE D’ABO,"Mike D'Abo is best known as the former lead singer of the 1960s rock band Manfred Mann. He is recognized for his contributions to the pop and rock genres, contributing to some of the band's biggest hits and later pursuing a solo career."
MINA,"Mina is an artist celebrated for her eclectic take on UK funky, Afrobeat, and dancehall. Her productions often feature vibrant, polyrhythmic beats and collaborations with international vocalists, creating a unique and danceable sound."
MINTY B2B SEPIA,The Bristol club night takesover.
MISHRA,"Mishra is a musical duo known for their unique blend of folk, classical, and traditional music. They incorporate elements of British and Indian musical styles, creating a sound that is both rootsy and innovative."
MISTA TRICK,"Mista Trick is a producer and DJ notable for his unique blend of swing and drum and bass, known as swing & bass. His music often features live jazz instrumentation mixed with fast-paced drum beats."
MIXMASTER MORRIS,Long-running champion of Ambient music and everything related.
MJ COLE,"MJ Cole is a UK garage producer whose work has been pivotal in the development of the genre. His music blends soulful vocals with complex, skittering beats, and he is known for hits like 'Sincere'."
MK,"MK (Marc Kinchen) is an American DJ, producer, and remixer primarily known for his work in house music. He has produced numerous hits and is recognized for his distinctive remixing style, which has shaped modern house music significantly."
MLE B2B JERRY,"Radio host, DJ and producer based in Berlin, MLE with Jerry opening the proceedings for this celebration of Rhythm Section."
MO FINGAZ,"Mo Fingaz is known for his eclectic DJ sets that span a wide range of genres including funk, soul, hip-hop, and house. His diverse selection and seamless mixing make for energetic sets that keep the dance floors vibrant and dynamic."
MOHAWKESTRA,"Mohawkestra is a UK-based instrumental band that blends elements of jazz, funk, and soul with modern beats and grooves to create a vibrant and eclectic sound."
MONRROE,"Monrroe is a well-regarded name in the liquid drum and bass subgenre. His productions are known for their smooth, melodic lines and emotive depth, often blending subtle vocal samples with atmospheric soundscapes."
MOONCHILD SANELLY,"Future ghetto funk with traces of kwaito, dancehall, R&B, Afro punk, electronics and ampiano from the blue-haired innovator."
MOUNT KIMBIE,"Playing a pivotal role in the evolution of cutting-edge contemporary British music, cultivating a rich sonic tapestry with a compulsion to innovate."
MOYA BRENNAN,"Moya Brennan is an iconic figure in Celtic music, often referred to as the 'First Lady of Celtic Music.' She is known for her ethereal voice and her work with the renowned band Clannad, as well as her solo career."
MOZEY,Mozey delivers D&B bangers like only he can!
MR. B THE GENTLEMAN RHYMER,"Mr. B The Gentleman Rhymer is a pioneer of 'chap-hop,' a unique subgenre that combines the refined sensibilities of British chap culture with the rhythmic elements of hip-hop. His music often features clever wordplay and Victorian-era aesthetics."
N'FAMADY KOUYATÉ,"Master musician from Guinea (Conakry) fronting an indie/jazz/funk band.centered around his primary instrument, the balafon – a traditional wooden xylophone."
NABIHAH IQBAL,"Nabihah Iqbal is a multi-instrumentalist and DJ known for her unique approach to electronic music, mixing elements of post-punk, shoegaze, and dance genres."
NADIA KADEK,British-Indonesian whose raw acoustic tones and intimate songs saw her reach the final of the Glastonbury Emerging Talent Competition.
NADINE NOOR,The Pxssy Palace Head Honcho.
NAT WENDELL,"Nat Wendell is a DJ and producer known for his contributions to the deep house genre. His sound often incorporates soulful elements and a strong sense of groove, creating an engaging and emotive listening experience."
NATTY LOU,Natty Lou is an international Drum and Bass DJ & Producer from the U.K who was nominated in the Drum & Bass Awards 2024 as ‘Best Female DJ’ and in the Drum and Bass Arena Awards 2023 as ‘Best DJ’.
NATTY WYLAH,"Natty Wylah is a British rapper and poet known for his unique blend of hip-hop and spoken word. His lyrics often explore themes of identity, politics, and social issues, delivered with a distinctive, rhythmic flow."
NEFFA T,"Neffa T is a UK-based DJ and producer specializing in the jungle and drum & bass genres. His music is known for its high energy and intricate breakbeat patterns, making him a favorite in the underground scene."
NEFFA-T,"Neffa-T is a DJ and producer known for his work in the UK bass music scene. His sound typically includes elements of grime, dubstep, and drum and bass, distinguished by heavy basslines and intricate rhythms."
NEW MODEL ARMY,"Storming through their fifth decade embracing punk, folk, soul and metal with their recent 16th critical acclaimed studio album ‘Unbroken’."
NEW YORK BRASS BAND,"New York Brass Band is a contemporary brass band known for their eclectic mix of genres, including jazz, pop, funk, and rock. They bring a lively brass sound to a variety of popular and traditional melodies."
NEWDAD,"Chiming post-Cure austerity meets heavy dream pop as matters of the heart, insecurity and relationships are woozily examined."
NGAIO,"Ngaio is a singer and DJ known for combining soulful melodies with electronic beats. Her music crosses genres, incorporating elements of jazz, soul, and bass music, creating a fresh and engaging sound."
NIA ARCHIVES,Her string of next-gen junglist anthems achieve an emotional relevance and pop artistry rarely witnessed in UK breakbeat culture.
NICOLA CRUZ,Ecuadorian DJ and producer blending Andean cosmology and folkloric music from across the globe into contemporary electronic soundscapes.
NIGHTMARES ON WAX,"Firmly established trip hop, techno and downtempo supremo."
NITIN SAWHNEY,"From his debut album, 1995’s ‘Migration’ to last year’s ‘Identity’, Nitin Sawhney’s work has often focussed on the immigrant experience. A true musical and cultural polymath."
NOBLE & HEATH,"Noble & Heath are known for their work in the house and disco scenes, often playing sets that blend classic disco sounds with modern house tracks."
NONAME,"Backed by live musicians, the Chicago rapper delivers radical bars over daisy-age beats; hailed her as one of the most important voices of her generation."
NOTHING BUT THIEVES,"Headstrong, straight ahead arena rock with an alternative artful indie brogue and a high line in super catchy melodies."
NUBIYAN TWIST,"Seamlessly weaving together global grooves, soul and jazz intertwined with electronic elements, horn-led melodies and spontaneous improvisation."
NYRA,"Nyra is known for his contributions to the underground house and techno scenes, characterized by his deep grooves, infectious rhythms, and analog sound production."
O'FLYNN,"O'Flynn is a London-based DJ and producer known for his eclectic mix of world music samples and electronic beats. His music often incorporates elements of house, techno, and African rhythms, creating energetic and danceable tracks."
OBLIG,"Oblig is a DJ known for his work in grime and UK drill. He often blends these genres with elements of UK garage and bassline, creating dynamic and high-energy sets that resonate with fans of the underground British music scene."
OCEAN COLOUR SCENE,"Brit Pop heroes who honed their craft in the spirit of the soul, folk and blues greats who inspired them."
OH MY GOD! IT'S THE CHURCH,"Oh My God! It'S The Church is a unique act that combines elements of live music, comedy, and theatrical performance. Their shows are known for their humorous take on religious themes, featuring a mix of rock, gospel, and soul music."
OK WILLIAMS B2B TAI LOKUN,"OK Williams’ stripped back techno meets Tai’s classic house, percussive drums, breaks and groovy techno."
OLD TIME SAILORS,"Foot stomping, all-dancing and all-singing shanty stylists sandbanked in an immersive 19th century moment."
OLIVIA DEAN,Heartbreak ballads and self-love anthems from the neo soul chanteuse and former Rudimental guest vocalist.
OLIVIA NELSON,Glastonbury Emerging Talent Competition winner.
OPTIMO,Taste-makers with an encyclopaedic knowledge and the skill to assemble sounds past and present to create an experience that is futuristic.
OPTIMO (ESPACIO),"Optimo (Espacio) is a DJ duo from Glasgow, Scotland, renowned for their genre-defying sets that incorporate everything from post-punk to techno. They also run their own label, Optimo Music."
OPTIMO [ESPACIO],"Optimo [Espacio] is a renowned DJ duo and club night from Glasgow, celebrated for their eclectic style that merges post-punk, disco, techno, and house music, creating diverse and dynamic sets."
OR:LA,"Derry-born DJ, producer and Céad label boss bridging UK bass subtleties with breakbeat and techno."
ORBITAL,"Marking the 30th anniversary of their legendary 1994 Glastonbury performance, often cited as converting the Festival to dance music."
OTOBOKE BEAVER,"Frantic and superbly intense Japanese four piece delivering short, sharp punk rock shocks in a spectacular Day-glo haze."
OTTO & ASTRID-DIE ROTEN PUNKTE,"Otto & Astrid-Die Roten Punkte are a German/Australian comedy rock duo, known for their satirical and often absurd performances that parody rock band clichés."
OTTO AND ASTRID - DIE ROTEN PUNKTE,"Otto and Astrid - Die Roten Punkte is a satirical rock and roll comedy duo from Australia. Their music parodies rock and punk styles, with humorous and outlandish stage shows that mock the clichés of rock bands."
P-RALLEL,"P-rallel grew up on a colourful musical diet, honing his craft from his DJ father. p-rallel started making a name for himself as a DJ in his own right"
PALMS TRAX,Berlin-based DJ and producer inspired by house and techno to create his own unique percussive sound.
PALOMA FAITH,Mezzo-soprano singer songwriter unwrapping her empowering and truly personal ‘The Glorification Of Sadness’ album of last year.
PANGAEA,"Pangaea is a pioneering artist in the UK bass and techno scenes, co-founder of the influential Hessle Audio label, known for his innovative and boundary-pushing productions."
PANGAEA B2B TASHA,Pangaea’s cutting-edge electronic music meets the Rinse FM and Neighbourhood Records’ supremo.
PAPER DRAGON,"Paper Dragon, keep the scene fresh with a nostalgic twist. Delving into the realms of jungle and breaks-inspired music."
PARANOID LONDON,"Stripping acid house back down to its basics, referencing instead its gay, black, American roots."
PARIS PALOMA,"With dramatic instrumentation, folk sensibilities, pop at its most cavernous."
PAUL CASEY,"High-energy guitar-driven, Celtic-inspired songs: Think John Mayer meets The Waterboys."
PAUL HEATON,The Housemartins and Beautiful South mainstay - and Jacqui Abbott collaborator - stepping out on his own with a hatful of hits.
PAUL JONES,"Paul Jones is a British singer, actor, harmonica player, and radio personality. Best known as the lead singer and harmonica player for the band Manfred Mann during the 1960s, Jones has also had a successful solo career in blues and pop music."
PEACH,"Peach is a DJ and producer associated with the house and techno sub-genres. Known for her eclectic sets and productions, she often merges various styles, creating a distinctive and dynamic sound."
PEGGY GOU,Upbeat deep electronic house music from the South Korean DJ and producer turned singer whose debut album ‘I Hear You’ arrived earlier this month.
PENGSHUI,"Pengshui is a UK-based band that fuses grime, punk, and heavy metal. Known for their aggressive sound and intense live performances, they bring a unique energy to the UK's alt-music scene."
PETE CANNON,"Pete Cannon is a versatile producer and DJ, known for his work in the UK hip-hop and drum & bass scenes, often blending old-school breakbeats with modern production techniques."
PETEBOX,"Petebox is a pioneering beatboxer and live-looping artist, known for creating intricate and full-band soundscapes using just his voice and loop pedal. His work spans various genres, including rock, electronic, and pop."
PHIL HARTNOLL,Phil Hartnoll is best known as one half of the pioneering electronic music duo Orbital. Orbital is credited with helping to shape the sound of early 90s rave and techno music with their iconic tracks and live performances.
PILLOW QUEENS,"Burnished with heartland euphoria, defiant lyricism and ragged harmonies, with lashings of pride, and an unabashed love of crescendos."
PIXEY,With a prolific and unusual songwriting style stemming from original riffs and beat.
PJ HARVEY,"Poet, actress, alternative rock icon, composer and musician whose music is striking in its originality: vivid, absorbing, and distinctive."
PLAID AMBIENT DJ SET,"Playful and wondrous, their 11 th album ‘Feorm Falorx’ is generally gentler than the dark angularity of its predecessor ‘Polymer’, but it’s no less deep, and maintains the melodicism for which they’re loved."
PLANNINGTOROCK,"Planningtorock is an experimental music artist known for blending elements of electronic, pop, and avant-garde music. The artist's work often explores themes of gender and identity, creating a unique sonic and visual experience."
POLA & BRYSON,"Pola & Bryson are a drum and bass duo from the UK, specializing in the liquid and melodic variations of the genre. They are celebrated for their rich, harmonic compositions and impactful releases on prominent labels."
PORIJ,"Combining minimalist grooves, heady bass and beautifully relaxed vocals to create their own unique genre-splicing sound."
PROBLEM PATTERNS,Belfast punks and Glastonbury Emerging Talent Competition finalists.
PROSPA,"Prospa is an electronic music duo known for their high-energy productions within the house and rave revival genres. Their tracks often feature big drops, catchy hooks, and a distinctly 90s influence."
PROSUMER,Prosumer is an influential DJ and producer within the house music community. His deep understanding of the genre and exceptional skill in selecting and mixing tracks have earned him a dedicated following among house music enthusiasts.
PSYCHEDELIC PORN CRUMPETS,"With their well-travelled explosive rock ‘n’ roll live show perfect for fans of King Gizzard, Thee Oh Sees and Ty Segall."
PUMAROSA,"Pumarosa is a British band that merges indie rock with electronic and psychedelic influences. Their music often features strong, atmospheric instrumentation and evocative vocals, creating a unique and dynamic soundscape."
QUALITEX ROOTS VIBRATION,Bristol's home of roots and dubwise soundsystem since 2007 starts the day.
RACHEL CHINOURIRI,"Intriguing upbeat indie pop Inspired by an eclectic upbringing via Sugababes, Daughter, Ladysmith Black Mambazo, and Coldplay."
RAGGS,"Raggs, dubstep, grime DJ/producer, journalist. Known for diverse selections, worldwide gigs, and fearless dedication to underground music culture."
RAGZ ORIGINALE,"Fusing rap, R&B, electronic, soul, and hip hop vibes, the producer turned performer has crafted an ever-evolving sound all his own."
RAINBOW GIRLS,"Rainbow Girls are an American folk and Americana group known for their harmonious vocals, engaging lyrics, and multi-instrumental talents. They blend elements of folk, rock, and Americana, creating a vibrant and eclectic sound."
RALPH  MCTELL,"Legendary unassuming singer songwriter, a prolific touring and recording artist with a knack for illuminating the present with a shared, storied, past."
RALPH MCTELL,"Ralph McTell is a veteran British singer-songwriter, known for his work in the folk and folk-rock genres. He gained widespread recognition with his classic hit 'Streets of London.'"
RANDALL,"Randall is a veteran DJ in the drum and bass scene, noted for his seamless mixing and deep selection, often touching on jungle and breakbeat sounds."
RAW SILK,"Raw Silk is an influential dance music duo, well-known for their work in the post-disco genre, especially the hit single ""Do It to the Music."""
REBECCA VASMANT,"Rebecca Vasmant is a DJ and producer from Glasgow, primarily known for her contributions to the jazz and electronic music scenes. She often blends live jazz instrumentation with electronic elements to create a hybrid sound."
RED HOT CHILLI PIPERS,Raucous and rebel-rousing bagpipe interpretations of everything from Coldplay to Queen.
RED LAZER DISCO,Manchester’s Red Laser Records’ party session.
REMI WOLF,Good time super soulful singer songwriter with a great vocal range whether tackling moody ballads or uptempo cheeky pop tunes.
REN HARVIEU,"Ren Harvieu is an English singer-songwriter known for her lush, soulful voice and retro pop sensibilities. Her music often draws from classic pop and soul influences, creating a nostalgic yet contemporary sound."
RIVER ROOTS,"River Roots is known for their organic, acoustic music that often blends folk and roots genres. Their harmonious tunes and reflective lyrics aim to connect listeners with nature and the human spirit."
RODNEY BRANIGAN,"Rodney Branigan is a multi-instrumentalist known for his unique blend of folk, rock, and acoustic music. His sub-genre can be classified under contemporary folk, where he incorporates intricate guitar techniques and heartfelt songwriting."
ROGUE WAVE,"Rogue Wave is an American indie rock band from Oakland, California. They are known for their layered, melodic sound that incorporates elements of folk, pop, and rock."
ROMY,"Musician, songwriter, DJ and part of the influential London group The xx, now a successful solo artist and DJ."
RONI SIZE,"Roni Size, Bristol legend, transformed D’n’B, winning Mercury Prize for ‘New Forms’. Known for groundbreaking live performances."
ROSA PISTOLA,"Rosa Pistola is a DJ and producer known for her influence in the reggaeton underground scene, bringing raw and edgy performances."
